A 2 IR2JO020
C 3 FX9EG418
B 2 VM5MP661
B 2 FB0OI776
C 2 TR6YO171
D 2 FW0RX207
C 3 LI9NI772
A 1 KM4DJ387
D 1 RQ4AH919
B 2 NA0LY945
B 3 WI4OX735
C 2 VC3QM018
B 3 ME2OD844
A 3 NM8IP237
A 2 LE3TD192
C 2 QM0KB132
B 1 RR6DX715
D 3 ZH5AK379
C 1 VO0SX087
B 3 CD2PV006
C 1 CV6LQ839
A 1 KG9FI164
D 2 HU3XR256
A 3 VV7HF118
B 3 MJ6RN527
A 3 FY5OD755
D 1 UK4AT264
A 1 JR2CS263
B 1 BY8RD402
B 2 BN5QR277
D 3 CE9PE767
D 3 KD7NY302
B 3 UO2DR409
C 1 MN9LN790
D 3 DR1KI056
A 3 EV2RP753
C 1 WV1CP433
C 3 AX2QF397
C 1 XZ2DN022
C 3 ZM7UA998
C 1 QW8XZ637
B 3 DP9CV170
C 2 LQ8HV009
B 1 YA6VK837
D 2 AX8YQ583
B 1 CF0BB559
B 2 VP1FF302
D 3 UT1EM227
A 2 CI1SL744
C 3 OC5AT222
A 3 WB0MN512
B 2 OK9FG172
D 1 NJ2OH709
D 2 QT9MT536
A 3 ZB9DL197
A 3 SV2CX489
C 1 LD9NV095
D 2 WS2WC001
A 1 ZH1SI213
B 2 FO7AN675
C 3 LW4FI709
B 1 IW1OO914
A 1 QW5YG915
B 2 NM1BY566
D 1 OI6SV484
A 2 CG3LZ217
B 2 CJ2WM068
B 2 OQ0CB620
B 3 LT2ZE614
D 2 SL4ZX627
D 2 VR9OB791
C 3 TV0QO069
A 2 ZX9AF128
C 3 DK5ER905
C 2 VD2KY705
D 1 BF9XG484
C 1 QB7OO808
A 3 MM6VS871
C 2 NQ2PK292
C 3 QI1CL171
A 3 EA4RV396
C 3 UI1IZ160
D 2 GE5WU811
A 3 QY3KN892
D 2 LR1VY726
A 3 PC3UT352
B 2 IV9OP917
B 2 UL9VH200
D 3 OI6FZ387
B 2 VU0XX886
D 3 UE8DR777
B 2 KI1SG155
B 1 JC9JX185
A 1 IJ3ED401
D 3 PV0KH659
A 2 MK5SX708
B 1 NY5TR993
B 1 ES6FO216
A 1 CJ7PF369
D 1 NS2HX607
B 2 EY3RS331
B 2 VD3TL777
B 2 MF8YS270
D 1 ZA0ZC017
D 2 XV7SS101
A 1 YO2TF689
D 1 HM5SV932
D 1 RW5VE881
B 3 FM3QC407
A 2 ZR7XC164
A 2 GD9OX546
C 3 GA7PO234
A 2 JG1NP764
D 3 QL4WF202
A 3 EJ7GP685
D 1 XW7BN931
B 2 DP5AA667
B 1 GC1KB858
A 2 CW8EI310
C 1 YI5OV658
C 1 KL1OT060
D 3 NH7HY167
C 1 BC8AV579
C 2 FX7LK831
C 3 VW3UV860
B 2 BQ6LG130
C 3 TT5LD207
C 1 CS7DY863
B 3 TY8DM629
B 1 CQ2RV691
A 1 CG0PW829
C 1 CJ9UX881
B 2 NQ6MY085
B 3 ZN4GQ325
A 3 FA2JR523
A 2 IN8XR103
A 2 QG3OZ330
B 2 GZ5OJ687
B 3 DF6RM626
B 1 HY7PK733
A 2 LR5DM861
D 2 IX6RH647
C 2 MO1ZN841
A 2 NI0DG147
B 3 HJ0XH436
B 1 MO5HD601
A 2 GV3EO416
C 1 NJ8ZG840
C 1 CA6YC699
D 3 CQ5HH697
C 1 LI0WK654
B 1 IS1FK361
B 1 SI9QP366
C 2 ZN4IT764
